conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_0,skill/competence,cross-sector,Bootstrap Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_1,skill/competence,cross-sector,Express Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_2,skill/competence,cross-sector,Intermediate Assembly,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_3,skill/competence,cross-sector,Basic Express,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_4,skill/competence,cross-sector,Knowledge of Angular,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_5,skill/competence,cross-sector,Junior Backbone,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_6,skill/competence,cross-sector,Basic SciPy,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_7,skill/competence,cross-sector,MongoDB Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_8,skill/competence,cross-sector,Expert in Kafka,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_9,skill/competence,cross-sector,Expert in Ruby,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_10,skill/competence,cross-sector,Communication,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_11,skill/competence,cross-sector,Bash Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_12,skill/competence,cross-sector,Familiar with FastAPI,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_13,skill/competence,cross-sector,OpenCV Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_14,skill/competence,cross-sector,Intermediate Next.js,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_15,skill/competence,cross-sector,Advanced Nuxt.js,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_16,skill/competence,cross-sector,NestJS Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_17,skill/competence,cross-sector,Junior Vue,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_18,skill/competence,cross-sector,Advanced Symfony,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_19,skill/competence,cross-sector,Intermediate FastAPI,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_20,skill/competence,cross-sector,Basic Kotlin,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_21,skill/competence,cross-sector,Machine Learning Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_22,skill/competence,cross-sector,Familiar with Computer Vision,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_23,skill/competence,cross-sector,Knowledge of Xamarin,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_24,skill/competence,cross-sector,NestJS Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_25,skill/competence,cross-sector,Ruby Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_26,skill/competence,cross-sector,Perl Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_27,skill/competence,cross-sector,Angular Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_28,skill/competence,cross-sector,Expert in Sass,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_29,skill/competence,cross-sector,Knowledge of Bash,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_30,skill/competence,cross-sector,Haskell Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_31,skill/competence,cross-sector,Artificial Intelligence,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_32,skill/competence,cross-sector,Machine Learning,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_33,skill/competence,cross-sector,Familiar with Plotly,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_34,skill/competence,cross-sector,Intermediate Swift,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_35,skill/competence,cross-sector,Advanced PostgreSQL,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_36,skill/competence,cross-sector,Knowledge of Machine Learning,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_37,skill/competence,cross-sector,Familiar with Oracle,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_38,skill/competence,cross-sector,Spring Boot,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_39,skill/competence,cross-sector,Symfony Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_40,skill/competence,cross-sector,Basic TensorFlow,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_41,skill/competence,cross-sector,Tableau Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_42,skill/competence,cross-sector,Scala Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_43,skill/competence,cross-sector,Intermediate Kotlin,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_44,skill/competence,cross-sector,Intermediate Scala,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_45,skill/competence,cross-sector,Ansible,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_46,skill/competence,cross-sector,Electron Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_47,skill/competence,cross-sector,Expert in Data Science,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_48,skill/competence,cross-sector,Bash,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_49,skill/competence,cross-sector,Advanced Oracle,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_50,skill/competence,cross-sector,Electron Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_51,skill/competence,cross-sector,SciPy Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_52,skill/competence,cross-sector,Intermediate Power BI,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_53,skill/competence,cross-sector,Seaborn Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_54,skill/competence,cross-sector,Scala Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_55,skill/competence,cross-sector,Vue Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_56,skill/competence,cross-sector,Tailwind CSS,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_57,skill/competence,cross-sector,Angular Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_58,skill/competence,cross-sector,Data Engineering Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_59,skill/competence,cross-sector,Senior R,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_60,skill/competence,cross-sector,WebSockets,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_61,skill/competence,cross-sector,Data Engineering Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_62,skill/competence,cross-sector,Junior OpenCV,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_63,skill/competence,cross-sector,TensorFlow Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_64,skill/competence,cross-sector,Dart Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_65,skill/competence,cross-sector,Svelte Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_66,skill/competence,cross-sector,Ionic Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_67,skill/competence,cross-sector,Knowledge of Tableau,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_68,skill/competence,cross-sector,Matplotlib Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_69,skill/competence,cross-sector,C# Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_70,skill/competence,cross-sector,Senior Natural Language Processing,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_71,skill/competence,cross-sector,Knowledge of Apache Spark,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_72,skill/competence,cross-sector,Basic SQLite,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_73,skill/competence,cross-sector,PostgreSQL,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_74,skill/competence,cross-sector,Familiar with NLP,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_75,skill/competence,cross-sector,Flutter Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_76,skill/competence,cross-sector,MATLAB Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_77,skill/competence,cross-sector,Seaborn Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_78,skill/competence,cross-sector,Intermediate Ember,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_79,skill/competence,cross-sector,Django Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_80,skill/competence,cross-sector,Entity Framework Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_81,skill/competence,cross-sector,Assembly Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_82,skill/competence,cross-sector,Trello,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_83,skill/competence,cross-sector,Junior Rust,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_84,skill/competence,cross-sector,Junior Airflow,,Massive generated dataset
